Satelite operando,Órbita,Bandas,Status do Satélite,Pos. Orbital,Direito,Operadora Comercial
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
EUTELSAT 65 West A  ,Satélite Geoestacionário (GEO),C (AP30B)- Ku (AP30B)- Ka,operação comercial,65ºO,Brasileiro,EUTELSAT DO BRASIL LTDA
HISPASAT 74W-1  ,Satélite Geoestacionário (GEO),Ku (AP30/30A),operação comercial,74ºO,Brasileiro,HISPAMAR SATELITES S.A.
AL YAH 3  ,Satélite Geoestacionário (GEO),Ka,operação comercial,20ºO,Brasileiro,YAH TELECOMUNICAÇÕES LTDA
SGDC  ,Satélite Geoestacionário (GEO),Ka,operação comercial,75ºO,Brasileiro,TELECOMUNICACOES BRASILEIRAS SA TELEBRAS
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
SES-14  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ka,operação comercial,47-5ºO,Brasileiro,SES DTH DO BRASIL LTDA
